ID,Name,Age,DOB,Department,Salary,Joining Date,Performance Score,Tenure,Experience_Level
165,Hunter Chen,27,04-04-1988,Unassigned,65239,06-09-2022,Average,2.47,Intermediate
166,Diana Thomas,36,02-05-1980,Finance,69048,07-02-2021,Excellent,4.05,Intermediate
167,Robert Solis,30,21-03-1985,IT,37084,22-06-2011,Poor,13.69,Veteran
168,Christopher Howell,47,21-08-1968,Customer Support,94212,24-03-2015,Average,9.93,Experienced
169,Jason Jenkins,46,05-10-1973,IT,78348,03-01-2006,Average,19.16,Veteran
170,Stephanie Rodriguez,54,02-01-1989,Sales,50847,11-03-2018,Average,6.97,Experienced
171,Christine Winters,59,24-08-2002,Sales,37617,22-08-2007,Good,17.53,Veteran
172,Dr. Scott Cummings,35,04-05-1985,HR,93142,28-09-2012,Good,12.42,Veteran
173,Melinda Dean,46,13-06-1998,IT,57708,14-01-2021,Average,4.12,Intermediate
174,Jessica Davis,57,28-12-1968,Operations,85977,12-05-2007,Good,17.81,Veteran
175,Ashley Davis,47,18-11-1997,Unassigned,42186,20-01-2011,Excellent,14.11,Veteran
176,Desiree Roy,49,09-11-1986,Marketing,80793,15-11-2011,Average,13.29,Veteran
177,Carl Ayers,26,18-01-1983,Finance,93887,04-08-2017,Good,7.57,Experienced
178,Jason Haas,57,11-12-1988,Operations,49961,01-04-2005,Average,19.92,Veteran
179,Cassandra Logan,55,11-04-1968,Sales,45381,10-05-2015,Excellent,9.81,Experienced
180,Juan Terry,56,20-12-1986,Unassigned,32469,24-01-2023,Excellent,2.09,Intermediate
181,Kevin Adams,43,15-09-1985,IT,58124,05-10-2014,Average,10.4,Veteran
182,James Hester,53,24-04-1993,Sales,47205,05-12-2016,Excellent,8.23,Experienced
183,Courtney Whitaker,41,16-12-1967,IT,30324,12-07-2021,Average,3.63,Intermediate
184,Angela Sullivan,41,09-10-1999,IT,82250,18-01-2019,Average,6.11,Experienced
185,William Quinn,51,04-03-2002,Customer Support,65319,18-07-2023,Average,1.61,Intermediate
186,John Espinoza,46,05-02-1978,HR,59404,26-05-2014,Average,10.76,Veteran
187,Taylor Wilson,60,03-09-1985,Customer Support,69928,23-02-2011,Good,14.02,Veteran
188,Frederick Sanders,49,25-11-1984,HR,31080,09-09-2019,Excellent,5.47,Experienced
189,John Smith,30,15-05-1996,Operations,31155,24-04-2009,Excellent,15.85,Veteran
190,Keith Hernandez,33,01-01-1982,Marketing,64087,24-11-2012,Average,12.26,Veteran
191,Chad Knapp,39,24-04-1987,Finance,94971,07-12-2021,Average,3.22,Intermediate
192,Kenneth Gonzalez,46,28-05-1997,HR,62551,23-09-2006,Excellent,18.44,Veteran
193,Crystal Martin,55,15-03-1984,IT,60307,15-03-2016,Good,8.96,Experienced
194,Crystal Ortiz,22,25-06-1996,Sales,85493,22-03-2005,Average,19.95,Veteran
195,Michael Cooper,52,12-03-1989,Finance,32748,13-08-2019,Average,5.54,Experienced
196,John Payne,24,19-05-2001,Sales,66143,04-10-2019,Average,5.4,Experienced
197,Christy Stokes,52,27-03-1998,Sales,40784,09-10-2009,Poor,15.39,Veteran
198,Madison Rios,45,18-01-1979,Customer Support,35185,21-07-2018,Average,6.61,Experienced
199,Eileen Powell,27,28-11-1985,Customer Support,64481,21-09-2014,Poor,10.44,Veteran
200,Alejandra Ball,60,27-05-1974,Marketing,86152,09-11-2021,Good,3.3,Intermediate
